Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 5/22/2019 2:45:57 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_11_59    2     2682  0.348  0.343  0.284  0.941  0.858  0.774  0.491  0.701   NS  -0.0079
dDocent_Contig_11_87    2     2682  0.001  0.001  0.001  1.000  0.999  0.999  0.997  0.999   ND  -0.0000
dDocent_Contig_11_89    3     2682  0.455  0.456  0.409  0.896  0.763  0.623  0.343  0.608   NS   0.0003
dDocent_Contig_11_93    2     2682  0.257  0.271  0.234  0.963  0.883  0.806  0.569  0.757   NS   0.0258
dDocent_Contig_11_117    2     2682  0.114  0.127  0.119  0.992  0.941  0.892  0.770  0.879  ***   0.0545
dDocent_Contig_11_126    2     2682  0.160  0.169  0.155  0.986  0.923  0.863  0.705  0.842   NS   0.0288
dDocent_Contig_11_130    2     2679  0.281  0.281  0.242  0.961  0.879  0.801  0.556  0.749   NS   0.0005
dDocent_Contig_11_131    2     2679  0.281  0.281  0.242  0.961  0.879  0.801  0.556  0.749   NS   0.0005
dDocent_Contig_107_30    2     2741  0.504  0.491  0.370  0.879  0.815  0.722  0.380  0.599   NS  -0.0132
dDocent_Contig_107_48    2     2741  0.399  0.404  0.322  0.918  0.839  0.751  0.437  0.657   NS   0.0058
dDocent_Contig_107_80    2     2741  0.101  0.105  0.100  0.994  0.950  0.908  0.806  0.899   NS   0.0195
dDocent_Contig_315_18    2     2717  0.099  0.097  0.092  0.995  0.954  0.914  0.820  0.906   NS  -0.0079
dDocent_Contig_315_77    2     2717  0.430  0.419  0.331  0.912  0.834  0.745  0.425  0.647   NS  -0.0124
dDocent_Contig_315_108    2     2717  0.046  0.048  0.047  0.999  0.977  0.955  0.907  0.953   ND   0.0263
dDocent_Contig_333_46    2     2723  0.976  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3226
dDocent_Contig_333_47    2     2723  0.976  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3226
dDocent_Contig_333_107    2     2726  0.986  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3268
dDocent_Contig_333_108    2     2726  0.986  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3268
dDocent_Contig_435_7    2     2763  0.970  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3197
dDocent_Contig_516_15    2     2720  0.622  0.476  0.363  0.887  0.819  0.726  0.388  0.609  ***  -0.1332
dDocent_Contig_516_16    2     2720  0.569  0.438  0.342  0.904  0.829  0.739  0.412  0.634  ***  -0.1301
dDocent_Contig_516_58    2     2720  0.721  0.461  0.355  0.894  0.823  0.731  0.397  0.619  ***  -0.2194
dDocent_Contig_516_66    3     2720  0.249  0.225  0.212  0.975  0.886  0.796  0.613  0.791  ***  -0.0602
dDocent_Contig_516_77    2     2720  0.717  0.460  0.354  0.894  0.823  0.731  0.397  0.619  ***  -0.2181
dDocent_Contig_516_79    2     2720  0.717  0.460  0.354  0.894  0.823  0.731  0.397  0.619  ***  -0.2181
dDocent_Contig_537_31    2     2752  0.142  0.145  0.134  0.990  0.933  0.879  0.742  0.863   NS   0.0077
dDocent_Contig_631_38    2     2697  0.084  0.083  0.080  0.997  0.960  0.925  0.844  0.920   NS  -0.0048
dDocent_Contig_631_90    2     2697  0.729  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.1867
dDocent_Contig_714_82    2     2693  0.322  0.338  0.281  0.943  0.860  0.776  0.496  0.705   NS   0.0240
dDocent_Contig_714_92    2     2693  0.291  0.302  0.257  0.954  0.872  0.791  0.532  0.732   NS   0.0190
dDocent_Contig_769_57    2     2690  0.480  0.469  0.359  0.890  0.820  0.729  0.392  0.613   NS  -0.0111
dDocent_Contig_769_104    2     2690  0.223  0.224  0.199  0.975  0.901  0.830  0.627  0.795   NS   0.0010
dDocent_Contig_816_20    2     2732  0.617  0.428  0.337  0.908  0.832  0.742  0.419  0.641  ***  -0.1803
dDocent_Contig_848_49    2     2729  0.052  0.052  0.051  0.999  0.974  0.951  0.899  0.949   ND   0.0072
dDocent_Contig_848_63    2     2729  0.133  0.131  0.123  0.991  0.939  0.889  0.764  0.875   NS  -0.0072
dDocent_Contig_848_64    2     2729  0.338  0.327  0.273  0.947  0.863  0.781  0.507  0.713   NS  -0.0171
dDocent_Contig_889_111    2     2710  0.357  0.348  0.287  0.940  0.856  0.772  0.486  0.698   NS  -0.0128
dDocent_Contig_1201_31    2     2747  0.386  0.388  0.313  0.925  0.844  0.756  0.450  0.669   NS   0.0028
